"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Women's Strawweight","Joanna Jędrzejczyk (c)","Valérie Létourneau","Decision","5","5:00","(unanimous) (49–46, 49–46, 50–45)"
"Heavyweight","Mark Hunt","Antônio Silva","TKO","1","3:41","(punches)"
"Middleweight","Robert Whittaker","Uriah Hall","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Heavyweight","Jared Rosholt","Stefan Struve","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Jake Matthews","Akbarh Arreola","TKO","2","5:00","(doctor stoppage)"
"Welterweight","Kyle Noke","Peter Sobotta","TKO","1","2:01","(front kick to the body and punches)"
"Light Heavyweight","Gian Villante","Anthony Perosh","KO","1","2:56","(punch)"
"Flyweight","Danny Martinez","Richie Vaculik","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Dan Kelly","Steve Montgomery","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Richard Walsh","Steve Kennedy","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Welterweight","James Moontasri","Anton Zafir","TKO","1","4:36","(spinning back kick, spinning back fist and punches)"
"Flyweight","Ben Nguyen","Ryan Benoit","Submission","1","2:35","(rear-naked choke)"
"Middleweight","Vitor Belfort","Dan Henderson","TKO","1","2:07","(head kick and punches)"
"Light Heavyweight","Glover Teixeira","Patrick Cummins","TKO","2","1:12","(punches)"
"Bantamweight","Thomas Almeida","Anthony Birchak","KO","1","4:22","(punch)"
"Lightweight","Alex Oliveira","Piotr Hallmann","KO","3","0:54","(punch)"
"Lightweight","Rashid Magomedov","Gilbert Burns","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Corey Anderson","Fabio Maldonado","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Abel Trujillo","Gleison Tibau","Disqualification","1","1:45","(overturned)"
"Lightweight","Johnny Case","Yan Cabral","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Thiago Tavares","Clay Guida","Submission","1","0:39","(guillotine choke)"
"Featherweight","Chas Skelly","Kevin Souza","Submission","2","1:56","(rear-naked choke)"
"Welterweight","Viscardi Andrade","Gasan Umalatov","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Bantamweight","Jimmie Rivera","Pedro Munhoz","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Matheus Nicolau","Bruno Rodrigues","Submission","3","3:27","(Japanese necktie)"
"Flyweight","Louis Smolka","Paddy Holohan","Submission","2","4:09","(rear-naked choke)"
"Lightweight","Norman Parke","Reza Madadi","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Nicolas Dalby","Darren Till","Draw","3","5:00","(majority) (28–29, 28–28, 28–28)"
"Flyweight","Neil Seery","Jon Delos Reyes","Submission","2","4:12","(guillotine choke)"
"Lightweight","Stevie Ray","Mickael Lebout","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Women's Strawweight","Aisling Daly","Ericka Almeida","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–27)"
"Middleweight","Krzysztof Jotko","Scott Askham","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","Tom Breese","Cathal Pendred","TKO","1","4:37","(punches)"
"Featherweight","Darren Elkins","Robert Whiteford","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Garreth McLellan","Bubba Bush","TKO","3","4:58","(punches)"
"Light Heavyweight","Daniel Cormier (c)","Alexander Gustafsson","Decision","5","5:00","(split) (47–48, 48–47, 49–46)"
"Light Heavyweight","Ryan Bader","Rashad Evans","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Ruslan Magomedov","Shawn Jordan","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Flyweight","Joseph Benavidez","Ali Bagautinov","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Women's Bantamweight","Julianna Peña","Jessica Eye","Decision","3","5:00","(unanimous) (29–27, 29–27, 29–27)"
"Featherweight","Yair Rodríguez","Dan Hooker","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Welterweight","Albert Tumenov","Alan Jouban","TKO","1","2:55","(head kick and punches)"
"Lightweight","Adriano Martins","Islam Makhachev","KO","1","1:46","(punch)"
"Women's Strawweight","Rose Namajunas","Angela Hill","Submission","1","2:47","Technical  (standing rear-naked choke)"
"Catchweight (160 lbs)","Sage Northcutt","Francisco Trevino","TKO","1","0:57","(elbows and punches)"
"Flyweight","Sergio Pettis","Chris Cariaso","Decision","3","5:00","(unanimous) (29–27, 29–27, 29–28)"
"Heavyweight","Derrick Lewis","Viktor Pešta","TKO","3","1:15","(punches)"
"Heavyweight","Josh Barnett","Roy Nelson","Decision","5","5:00","(unanimous) (48–47, 48–47, 50–45)"
"Middleweight","Uriah Hall","Gegard Mousasi","TKO","2","0:25","(spinning back kick, flying knee and punches)[10]"
"Flyweight","Kyoji Horiguchi","Chico Camus","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Takeya Mizugaki","George Roop","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Diego Brandao","Katsunori Kikuno","TKO","1","0:28","(punches)"
"Featherweight","Mizuto Hirota","Teruto Ishihara","Draw","3","5:00","(split) (29–28, 28–29, 29–29)"
"Welterweight","Keita Nakamura","Li Jingliang","Submission","3","2:17","Technical  (standing rear-naked choke)"
"Lightweight","Nick Hein","Yusuke Kasuya","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Lightweight","Kajan Johnson","Naoyuki Kotani","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Welterweight","Shinsho Anzai","Roger Zapata","TKO","3","0:47","(hand injury)"
"Flyweight","Demetrious Johnson (c)","John Dodson","Decision","5","5:00","(unanimous) (49–46, 49–46, 50–45)"
"Heavyweight","Andrei Arlovski","Frank Mir","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Light Heavyweight","Anthony Johnson","Jimi Manuwa","KO","2","0:28","(punch)"
"Light Heavyweight","Corey Anderson","Jan Błachowicz","Decision","3","5:00","(unanimous) (30–25, 30–25, 29–26)"
"Women's Strawweight","Paige VanZant","Alex Chambers","Submission","3","1:01","(armbar)"
"Lightweight","Ross Pearson","Paul Felder","Decision","3","5:00","(split) (28–29, 30–27, 29–28)"
"Bantamweight","John Lineker","Francisco Rivera","Submission","1","2:08","(guillotine choke)"
"Women's Bantamweight","Raquel Pennington","Jéssica Andrade","Submission","2","4:58","(rear-naked choke)"
"Featherweight","Tiago Trator","Clay Collard","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Middleweight","Joe Riggs","Ron Stallings","Disqualification","2","2:28","(illegal upkick)"
"Lightweight","Joaquim Silva","Nazareno Malegarie","Decision","3","5:00","(split) (28–29, 30–27, 30–27)"
"Featherweight","Max Holloway","Charles Oliveira","TKO","1","1:39","(neck injury)"
"Welterweight","Neil Magny","Erick Silva","Decision","3","5:00","(split) (28–29, 29–28, 30–27)"
"Welterweight","Patrick Côté","Josh Burkman","TKO","3","1:26","(punches)"
"Lightweight","Francisco Trinaldo","Chad Laprise","TKO","1","2:43","(punches)"
"Lightweight","Olivier Aubin-Mercier","Tony Sims","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Women's Strawweight","Valérie Létourneau","Maryna Moroz","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Lightweight","Frankie Perez","Sam Stout","TKO","1","0:54","(punches)"
"Bantamweight","Felipe Arantes","Yves Jabouin","Submission","1","4:21","(armbar)"
"Light Heavyweight","Nikita Krylov","Marcos Rogério de Lima","Submission","1","2:29","(rear-naked choke)"
"Flyweight","Chris Kelades","Chris Beal","Decision","3","5:00","(split) (27–30, 29–28, 29–28)"
"Lightweight","Shane Campbell","Elias Silvério","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Misha Cirkunov","Daniel Jolly","KO","1","4:45","(punches)"
"Light Heavyweight","Glover Teixeira","Ovince Saint Preux","Submission","3","3:10","Technical  (rear-naked choke)"
"Lightweight","Beneil Dariush","Michael Johnson","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Middleweight","Derek Brunson","Sam Alvey","TKO","1","2:19","(punches)"
"Heavyweight","Jared Rosholt","Timothy Johnson","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Women's Bantamweight","Amanda Nunes","Sara McMann","Submission","1","2:53","(rear-naked choke)"
"Catchweight (126.75 lbs)","Ray Borg","Geane Herrera","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Uriah Hall","Oluwale Bamgbose","TKO","1","2:32","(punches)"
"Middleweight","Chris Camozzi","Tom Watson","Decision","3","5:00","(unanimous) (29–27, 30–26, 29–27)"
"Flyweight","Dustin Ortiz","Willie Gates","TKO","3","2:58","(elbows and punches)"
"Bantamweight","Frankie Saenz","Sirwan Kakai","Decision","3","5:00","(split) (28–29, 30–27, 30–27)"
"Light Heavyweight","Jonathan Wilson","Chris Dempsey","KO","1","0:50","(punches)"
"Bantamweight","Marlon Vera","Roman Salazar","Submission","2","2:15","(triangle armbar)"
"Lightweight","Scott Holtzman","Anthony Christodoulou","Submission","3","2:40","(rear-naked choke)"
"Women's Bantamweight","Ronda Rousey (c)","Bethe Correia","KO","1","0:34","(punch)"
"Light Heavyweight","Maurício Rua","Antônio Rogério Nogueira","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Glaico França","Fernando Bruno","Submission","3","4:46","(rear-naked choke)"
"Bantamweight","Reginaldo Vieira","Dileno Lopes","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Heavyweight","Stefan Struve","Antônio Rodrigo Nogueira","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Antônio Silva","Soa Palelei","TKO","2","0:41","(punches)"
"Women's Strawweight","Cláudia Gadelha","Jessica Aguilar","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Demian Maia","Neil Magny","Submission","2","2:52","(rear-naked choke)"
"Light Heavyweight","Patrick Cummins","Rafael Cavalcante","TKO","3","0:45","(elbows)"
"Welterweight","Warlley Alves","Nordine Taleb","Submission","2","4:11","(guillotine choke)"
"Bantamweight","Iuri Alcântara","Leandro Issa","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–27)"
"Middleweight","Vitor Miranda","Clint Hester","TKO","2","2:38","(punches and elbows)"
"Bantamweight","Guido Cannetti","Hugo Viana","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","T.J. Dillashaw (c)","Renan Barão","TKO","4","0:35","(punches)"
"Women's Bantamweight","Miesha Tate","Jessica Eye","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Edson Barboza","Paul Felder","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Joe Lauzon","Takanori Gomi","TKO","1","2:37","(punches)"
"Light Heavyweight","Tom Lawlor","Gian Villante","KO","2","0:27","(punch)"
"Lightweight","Jim Miller","Danny Castillo","Decision","3","5:00","(split) (28–29, 29–28, 30–27)"
"Welterweight","Ben Saunders","Kenny Robertson","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Bryan Caraway","Eddie Wineland","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Lightweight","James Krause","Daron Cruickshank","Submission","1","1:27","(rear-naked choke)"
"Lightweight","Andrew Holbrook","Ramsey Nijem","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Women's Bantamweight","Elizabeth Phillips","Jessamyn Duke","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Zak Cummings","Dominique Steele","TKO","1","0:43","(punches)"
"Middleweight","Michael Bisping","Thales Leites","Decision","5","5:00","(split) (47–48, 49–46, 48–47)"
"Lightweight","Evan Dunham","Ross Pearson","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Joseph Duffy","Ivan Jorge","Submission","1","3:05","(triangle choke)"
"Women's Strawweight","Joanne Calderwood","Cortney Casey","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Welterweight","Leon Edwards","Pawel Pawlak","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Stevie Ray","Leonardo Mafra","TKO","1","2:30","(punches)"
"Flyweight","Paddy Holohan","Vaughan Lee","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Ilir Latifi","Hans Stringer","KO","1","0:56","(punches)"
"Lightweight","Mickael Lebout","Teemu Packalén","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Featherweight","Rob Whiteford","Paul Redmond","KO","1","3:04","(punches)"
"Bantamweight","Jimmie Rivera","Marcus Brimage","KO","1","1:29","(punches)"
"Heavyweight","Daniel Omielańczuk","Chris De La Rocha","TKO","1","0:48","(punches)"
"Heavyweight","Frank Mir","Todd Duffee","KO","1","1:13","(punch)"
"Lightweight","Tony Ferguson","Josh Thomson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Women's Bantamweight","Holly Holm","Marion Reneau","Decision","3","5:00","(unanimous) (30–27, 30–26, 29–28)"
"Bantamweight","Manvel Gamburyan","Scott Jorgensen","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Kevin Lee","James Moontasri","Submission","1","2:56","(rear-naked choke)"
"Welterweight","Alan Jouban","Matt Dwyer","Decision","3","5:00","(unanimous) (29–27, 29–27, 29–27)"
"Featherweight","Sam Sicilia","Yaotzin Meza","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Women's Bantamweight","Jéssica Andrade","Sarah Moras","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Bantamweight","Rani Yahya","Masanori Kanehara","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","Sean Strickland","Igor Araújo","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Middleweight","Kevin Casey","Ildemar Alcântara","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Lyman Good","Andrew Craig","KO","2","3:37","(punches)"
"Welterweight","Stephen Thompson","Jake Ellenberger","KO","1","4:29","(spinning hook kick)"
"Welterweight","Kamaru Usman","Hayder Hassan","Submission","2","1:19","(arm-triangle choke)"
"Welterweight","Michael Graves","Vicente Luque","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Jorge Masvidal","Cezar Ferreira","KO","1","4:22","(elbow and punches)"
"Women's Strawweight","Michelle Waterson","Angela Magana","Submission","3","2:38","(rear-naked choke)"
"Catchweight (148.5 lbs)","Maximo Blanco","Mike De La Torre","TKO","1","0:16","(punches)"
"Middleweight","Josh Samman","Caio Magalhães","Submission","1","2:52","(rear-naked choke)"
"Bantamweight","Jerrod Sanders","Russell Doane","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Middleweight","Trevor Smith","Dan Miller","Decision","3","5:00","(unanimous) (30–25, 30–25, 30–26)"
"Welterweight","George Sullivan","Dominic Waters","Decision","3","5:00","(unanimous) (29–27, 30–25, 29–28)"
"Flyweight","Willie Gates","Darrell Montague","TKO","1","1:36","(knees to the body and elbows)"
"Featherweight","Conor McGregor","Chad Mendes","TKO","2","4:57","(punches)"
"Welterweight","Robbie Lawler (c)","Rory MacDonald","TKO","5","1:00","(punches)"
"Catchweight (149.5 lbs)","Jeremy Stephens","Dennis Bermudez","TKO","3","0:32","(flying knee and punches)"
"Welterweight","Gunnar Nelson","Brandon Thatch","Submission","1","2:54","(rear-naked choke)"
"Bantamweight","Thomas Almeida","Brad Pickett","KO","2","0:29","(flying knee)"
"Welterweight","Matt Brown","Tim Means","Submission","1","4:44","(guillotine choke)"
"Welterweight","Alex Garcia","Mike Swick","Decision","3","5:00","(unanimous) (29-28, 30-27, 30-27)"
"Welterweight","John Howard","Cathal Pendred","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Bantamweight","Cody Garbrandt","Henry Briones","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Flyweight","Louis Smolka","Neil Seery","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Lightweight","Cody Pfister","Yosdenis Cedeno","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Middleweight","Yoel Romero","Lyoto Machida","KO","3","1:38","(elbows)"
"Welterweight","Lorenz Larkin","Santiago Ponzinibbio","TKO","2","3:07","(punches)"
"Middleweight","Antônio Carlos Júnior","Eddie Gordon","Submission","3","4:37","(rear-naked choke)"
"Middleweight","Thiago Santos","Steve Bossé","KO","1","0:29","(head kick)"
"Featherweight","Hacran Dias","Levan Makashvili","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Welterweight","Alex Oliveira","Joe Merritt","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Catchweight (174 lbs)","Leandro Silva","Lewis Gonzalez","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Welterweight","Tony Sims","Steve Montgomery","KO","1","2:43","(punches)"
"Bantamweight","Sirwan Kakai","Danny Martinez","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Women's Strawweight","Joanna Jędrzejczyk (c)","Jessica Penne","TKO","3","4:22","(punches and knee)"
"Featherweight","Tatsuya Kawajiri","Dennis Siver","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Peter Sobotta","Steve Kennedy","Submission","1","2:57","(rear-naked choke)"
"Lightweight","Nick Hein","Łukasz Sajewski","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Featherweight","Makwan Amirkhani","Masio Fullen","Submission","1","1:31","(rear-naked choke)"
"Lightweight","Mairbek Taisumov","Alan Patrick","TKO","2","1:30","(head kick and punches)"
"Featherweight","Arnold Allen","Alan Omer","Submission","3","1:41","(ninja choke)"
"Featherweight","Noad Lahat","Niklas Bäckström","Decision","3","5:00","(majority) (28–28, 29–28, 29–28)"
"Middleweight","Scott Askham","Antônio dos Santos Jr.","KO","1","2:52","(punches and knees)"
"Lightweight","Magomed Mustafaev","Piotr Hallmann","TKO","2","3:24","(doctor stoppage)"
"Bantamweight","Taylor Lapilus","Yuta Sasaki","TKO","2","1:26","(punches)"
"Heavyweight","Fabrício Werdum (ic)","Cain Velasquez (c)","Submission","3","2:13","(guillotine choke)"
"Lightweight","Eddie Alvarez","Gilbert Melendez","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Middleweight","Kelvin Gastelum","Nate Marquardt","TKO","2","5:00","(corner stoppage)"
"Featherweight","Yair Rodríguez","Charles Rosa","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Women's Strawweight","Tecia Torres","Angela Hill","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Flyweight","Henry Cejudo","Chico Camus","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Lightweight","Efrain Escudero","Drew Dober","Submission","1","0:54","(standing guillotine choke)"
"Bantamweight","Patrick Williams","Alejandro Pérez","Submission","1","0:23","Technical  (standing guillotine choke)"
"Lightweight","Johnny Case","Francisco Trevino","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
