"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Lightweight","Ryan Hall","Artem Lobov","Decision","3","5:00","(unanimous) (30-27, 30-26, 30-26)"
"Lightweight","Tony Ferguson","Edson Barboza","Submission","2","2:54","(D'Arce choke)"
"Lightweight","Evan Dunham","Joe Lauzon","Decision","3","5:00","(unanimous) (30-26, 30-27, 30-26)"
"Featherweight","Tatsuya Kawajiri","Jason Knight","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Lightweight","Julian Erosa","Marcin Wrzosek","Decision","3","5:00","(split) (28-29, 29-28, 29-28)"
"Heavyweight","Gabriel Gonzaga","Konstantin Erokhin","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-28)"
"Welterweight","Ryan LaFlare","Mike Pierce","Decision","3","5:00","(unanimous) (30-27, 29-28, 29-28)"
"Flyweight","Geane Herrera","Joby Sanchez","TKO","2","4:28","(punches)"
"Lightweight","Chris Gruetzemacher","Abner Lloveras","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Women's Strawweight","Rose Namajunas","Paige VanZant","Submission","5","2:25","(rear-naked choke)"
"Lightweight","Michael Chiesa","Jim Miller","Submission","2","2:57","(rear-naked choke)"
"Lightweight","Sage Northcutt","Cody Pfister","Submission","2","0:41","(guillotine choke)"
"Middleweight","Thiago Santos","Elias Theodorou","Decision","3","5:00","(unanimous) (29-28, 29-27, 29-27)"
"Welterweight","Tim Means","John Howard","KO","2","0:21","(punch)"
"Welterweight","Sérgio Moraes","Omari Akhmedov","TKO","3","2:18","(punches)"
"Middleweight","Antônio Carlos Júnior","Kevin Casey","No Contest","1","0:11","(accidental eye poke)"
"Bantamweight","Aljamain Sterling","Johnny Eduardo","Submission","2","4:18","(guillotine choke)"
"Welterweight","Santiago Ponzinibbio","Andreas Ståhl","TKO","1","4:25","(punches)"
"Welterweight","Danny Roberts","Nathan Coy","Submission","1","2:46","Technical  (triangle choke)"
"Featherweight","Zubaira Tukhugov","Phillipe Nover","Decision","3","5:00","(split) (28-29, 30-27, 30-27)"
"Women's Strawweight","Kailin Curran","Emily Kagan","Submission","2","4:13","(rear-naked choke)"
"Welterweight","Benson Henderson","Jorge Masvidal","Decision","5","5:00","(split) (47-48, 48-47, 49-46)"
"Welterweight","Dong Hyun Kim","Dominic Waters","TKO","1","3:11","(punches)"
"Welterweight","Alberto Mina","Yoshihiro Akiyama","Decision","3","5:00","(split) (28-29, 29-28, 29-28)"
"Featherweight","Doo Ho Choi","Sam Sicilia","TKO","1","1:33","(punches)"
"Middleweight","Dongi Yang","Jake Collier","TKO","2","1:50","(punches)"
"Featherweight","Mike De La Torre","Yui Chul Nam","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Lightweight","Tae Hyun Bang","Leo Kuntz","Decision","3","5:00","(split) (28-29, 29-28, 29-28)"
